기준년도,세대수 (세대),인구 (명)_남,인구 (명)_여,인구 (명)_한국인_남,인구 (명)_한국인_여,인구 (명)_외국인_남,인구 (명)_외국인_여,인구증가율 (퍼센트),세대당인구 (명),65세 이상 고령자 (명),인구밀도 (명 나누기 킬로미터),면적 (킬로미터)
1993,647325,1082259,1062091,1078845,1059581,3414,2510,3.56,3.3,84348,6318,339.4
1994,674128,1115457,1092812,1110814,1089955,4643,2857,2.98,3.3,89421,6502,339.61
1995,731080,1193395,1168737,1187620,1165453,5775,3284,6.97,3.2,106303,2473,955
1996,755074,1215627,1188726,1206978,1184846,8649,3880,1.79,3.2,111913,2515,955.95
1997,787498,1244820,1216085,1233907,1211705,10913,4380,2.35,3.1,117001,2569,957.81
1998,794534,1262495,1235909,1253485,1231714,9010,4195,1.52,3.1,123655,2608,958
1999,809671,1276414,1247837,1266057,1243029,10357,4808,1.03,3.1,130362,2633,958.61
2000,829164,1296053,1266268,1284769,1261000,11284,5268,1.51,3.1,138316,2657,964.53
2001,845739,1305852,1275705,1294400,1270198,11452,5507,0.75,3.1,145626,2634,980.04
2002,872057,1311620,1284482,1301499,1276490,10121,7992,0.56,3,152835,2632,986.45
2003,891606,1318560,1282718,1296989,1273205,21571,9513,0.2,2.9,160660,2636,986.96
2004,908673,1322272,1288443,1300343,1278474,21929,9969,0.36,2.9,169549,2630,992.78
2005,933686,1331830,1300348,1310759,1289736,21071,10612,0.82,2.8,178602,2648,994.12
2006,965302,1349832,1314022,1323375,1301016,26457,13006,1.2,2.8,189940,2658,1002.07
2007,995712,1372611,1337429,1342975,1321601,29636,15828,1.73,2.7,204880,2690,1007.47
2008,1014755,1386673,1354544,1356473,1336223,30200,18321,1.15,2.7,215860,2713,1010.35
2009,1026936,1394068,1364363,1364809,1345770,29259,18593,0.63,2.7,226610,2686,1027.01
2010,1059664,1421439,1386849,1390356,1367940,31083,18909,1.81,2.7,237805,2728,1029.44
2011,1077563,1441503,1409988,1410980,1390294,30523,19694,1.54,2.6,250528,2762,1032.41
2012,1097491,1459692,1431594,1431593,1412388,28099,19206,1.4,2.6,260107,2778,1040.82
2013,1118988,1478862,1451302,1448835,1430947,30027,20355,1.34,2.6,282471,2815,1040.88
2014,1136280,1492104,1465827,1459074,1443534,33030,22293,0.95,2.6,298818,2824,1047.59
2015,1154004,1503639,1479845,1469869,1455946,33770,23899,0.86,2.6,312905,2847,1047.87
2016,1171399,1512065,1490107,1477671,1465398,34394,24709,0.63,2.6,324255,2789,1076.4
2017,1188917,1515950,1495188,1479597,1468945,36353,26243,0.3,2.5,345024,2834,1062.59
2018,1213201,1521044,1501467,1481844,1472798,39200,28669,0.38,2.5,362675,2844,1062.59
